open,high,low,close,volume,date
211.25,212.34,213.16,215.31,18582517,2019-05-28
214.1,212,208.81,206.9,19446347,2019-05-28
213.2,214.6,210.2,206.38,22784826,2019-05-28
207.56,208.9,202.83,205.27,47068076,2019-05-28
214.12,222.47,213.23,220.22,65208424,2019-05-28
216.74,219.44,218.53,217.16,32733930,2019-05-28
220.92,219.45,219.55,218.77,20986238,2019-05-28
209.76,209.14,205.7,214.37,33558752,2019-05-28
206.3,212.86,208.31,210.62,39073307,2019-05-28
207,214.33,204.86,207,27523248,2019-05-28
207.7,203.66,200.1,208.27,35298837,2019-05-28
204.53,207.96,193.86,201.17,43197119,2019-05-28
188.24,193.74,186.33,190.91,60014574,2019-05-28
194.67,192.9,187.81,189.81,37597988,2019-05-28
187.16,196.35,186.51,192.66,26662759,2019-05-28
198.11,198.03,194.47,194.01,33785086,2019-05-28
187.74,191.2,188.64,191,33596775,2019-05-28
191.14,186.75,181.1,184.31,39736212,2019-05-28
187.33,197,193.4,187.5,28953836,2019-05-28
192.29,185.84,187.69,187.11,30732566,2019-05-28
188.7,187.87,186.58,185.89,37302493,2019-05-28
180.6,188.89,183.73,182.09,24375404,2019-05-28
