open,high,low,close,volume,date
297.09,300.9,303.92,300.26,58041669,2019-05-28
301.7,306.28,295.8,297.82,52571260,2019-05-28
304.45,295.54,301.83,306.47,57969278,2019-05-28
293.63,307.15,293.8,302.48,84617127,2019-05-28
300.67,305.28,296.9,304.65,73957440,2019-05-28
296.6,304.6,296.6,305.39,67733198,2019-05-28
306.1,306.51,293.2,294.18,57215332,2019-05-28
289.38,297.38,293.7,306.96,110062009,2019-05-28
292.61,293.34,294.06,301.66,148814652,2019-05-28
290.05,299.65,289.17,297.72,94487967,2019-05-28
287.56,288.91,296.5,299.16,104423759,2019-05-28
291.92,290.83,288.5,302.3,116743206,2019-05-28
286.4,286.36,287.66,283.53,131935766,2019-05-28
287.8,294.4,283.92,287.1,77521938,2019-05-28
283.62,295.48,289.81,297.47,74836998,2019-05-28
289.53,295.67,288.96,295.2,79896240,2019-05-28
286.37,302.7,288.83,299.23,105092281,2019-05-28
285.82,289.69,294.12,297.68,63839004,2019-05-28
286.93,296.5,285.72,297.74,47961455,2019-05-28
295.14,286.89,290.9,290.91,50328585,2019-05-28
289.69,294.51,292.81,295.6,99762262,2019-05-28
288.56,284.5,294.66,291.74,57131075,2019-05-28
