open,high,low,close,volume,date
260,260,251.19,255.56,22731450,2019-05-28
251.6,253.19,235.26,240.07,22429438,2019-05-28
245.92,254.36,233.67,244.21,16824041,2019-05-28
250.43,254.89,245,240.16,9923747,2019-05-28
248.14,247,240.5,239.73,11136865,2019-05-28
251.86,256.62,247.33,254.5,18865991,2019-05-28
249.43,267.02,254.21,266.3,24750214,2019-05-28
257.52,269.07,257,257.63,11121198,2019-05-28
265.4,266.76,247.6,258.21,10297594,2019-05-28
249.14,253.29,254,254.03,6235114,2019-05-28
252,245.99,244.47,249.11,6776728,2019-05-28
242.42,249.16,246.83,241.73,7049416,2019-05-28
235.54,233.2,225.7,228.63,11295672,2019-05-28
229.3,239.2,237,242.34,7313849,2019-05-28
232.24,243.57,230.29,243.38,7447125,2019-05-28
233.85,233,227.7,231.95,7586955,2019-05-28
226.86,228.86,218.82,220.09,17811915,2019-05-28
204.5,214,203.27,213.07,21519534,2019-05-28
206.96,211.9,199.92,213.88,18769071,2019-05-28
199.4,206.83,194.11,196.67,19087094,2019-05-28
200.77,207.17,187.28,204.93,27423619,2019-05-28
203.31,203.37,196.47,200.04,14584131,2019-05-28
