open,high,low,close,volume,date
39.92,41.22,39.73,38.53,26779506,2019-05-28
38.82,39.35,40.07,38.83,15823787,2019-05-28
40.56,41.84,40.22,41.23,20311472,2019-05-28
40.16,41.57,40.47,40.9,23263474,2019-05-28
40,41.42,40.47,39.36,15016486,2019-05-28
40.53,41.06,40.69,41.94,13790729,2019-05-28
41.25,41.66,40.36,42.1,16188306,2019-05-28
40.42,40.53,39.52,40.32,14986034,2019-05-28
40.2,41.36,39.29,38.78,19845660,2019-05-28
38.8,40.33,38.48,40.5,9172254,2019-05-28
38.75,40.32,39.64,39.75,10354161,2019-05-28
40.03,39.67,38.18,39.08,12695745,2019-05-28
39,38.11,37.01,37.43,17169513,2019-05-28
38.27,37.57,36.9,37.16,11320580,2019-05-28
36.92,38.4,38.07,39.7,11785267,2019-05-28
38.72,39.63,39.04,38.5,10454532,2019-05-28
38.21,39.22,37.83,37.5,9249735,2019-05-28
38.85,38.27,36.98,38.4,9810344,2019-05-28
37.9,39.38,39.17,38.95,9296063,2019-05-28
38.16,40.46,38.37,38.63,22139781,2019-05-28
39.75,38.5,37.7,37.73,18783723,2019-05-28
38.02,37.94,38.78,37.81,9752717,2019-05-28
